Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2025,5.69,1.35,1.67,5.22,4.51,,,,,,,,18.44
2024,3.2,1.94,5.66,6.47,7.8,3.67,2.55,0.41,2.24,0.21,1.6,4.59,40.34
2023,1.38,3.97,2.76,3.12,2.35,0.78,0.47,T,0.83,9.63,0.47,3.55,29.31
2022,0.08,2.03,2.12,2.54,3,2.64,T,10.68,0.33,4.43,6.4,2.39,36.64
2021,0.85,2.22,3.03,4.5,7.77,2.15,1.5,4.82,0.25,2.96,3.11,0.43,33.59
2020,5,3.88,6.75,1.9,7.54,5.35,2.31,1.28,3.87,1.74,1.08,3,43.7
2019,1.58,1.29,2.01,6.75,8.15,4.13,0.78,2.44,T,4.42,1.8,1.17,34.52
2018,0.85,11.31,2.9,0.77,1.87,1.27,0.25,2.99,12.69,15.66,0.86,4.55,55.97
2017,4.39,2.33,1.06,3.38,0.7,8.44,4.12,4.24,0.47,2.12,0.81,4.56,36.62
2016,1.04,2.2,2.67,4.6,6.25,3.6,3.89,4.42,0.98,2.01,3.22,0.6,35.48
2015,3.62,2.96,2.53,5.56,16.96,3.95,0.92,0.46,2.14,9.82,9.86,3.83,62.61
2014,0.33,0.41,1.45,1.74,3.4,3.26,0.98,4.34,0.06,2.09,2.13,1.13,21.32
2013,4.06,1.68,2.27,1.98,3.17,2.14,2.05,1.32,2.72,3.13,2.12,2.76,29.4
2012,6.18,1.88,5.74,4.24,1.66,2.82,0.78,3.19,1.75,1.02,0.05,1.95,31.26
2011,1.6,0.92,0.07,2.46,7.95,2.84,0.09,0.96,0.66,3.12,0.86,4.35,25.88
2010,2.76,2.83,3.57,2.03,1.09,2.08,3.13,0.41,9.09,1.16,1.5,2.05,31.7
2009,0.82,0.72,5.56,3.54,4.36,3.98,2.09,1.64,6.52,8.05,1.76,1.85,40.89
2008,0.27,2.3,6.07,3.85,2.21,0.84,0.81,2.82,0.84,2.29,4.53,0.27,27.1
2007,5.58,0.43,3.81,2.82,8.34,11.1,5.54,0.35,4.99,3.53,1.22,2.34,50.05
2006,2.25,3.85,4.4,1.86,1.9,0.34,1.78,0.52,2.6,4.34,2.58,3.33,29.75
2005,4.33,1.62,2.17,0.56,3.35,1.14,0.74,2.46,1.36,0.89,0.02,0.33,18.97
2004,3.04,3.84,1.71,2.96,4.73,10.49,4.16,4.24,1.02,5.72,5.01,0.65,47.57
2003,0.22,3.07,0.85,1.9,2.53,5.17,0.08,1.85,3.99,0.78,3.15,0.96,24.55
2002,4.9,0.94,7.39,5.68,5.4,3.1,3.07,1.47,1.38,6.44,0.52,4.13,44.42
2001,2.44,6.17,5.27,0.89,5.58,1.28,3.85,2.72,3.72,1.87,1.11,3.24,38.14
2000,1.59,3.3,2.91,4.28,3.17,5.93,T,0,0.17,4.38,6.95,3.57,36.26
1999,1.44,0.48,2.84,2.74,6.91,0.99,0.77,T,2.3,2.26,0.31,2.55,23.59
1998,5.07,3.22,4.45,1.25,2.38,1.75,0.11,0.35,0.68,5.64,4.91,4.43,34.24
1997,0.33,7.4,2.21,6.73,3.92,3.99,1.68,3.13,2.01,5.66,1.01,6.93,45
1996,0.97,0.35,2.36,2.14,0.95,3.42,3.85,5.02,1.51,6.56,5.54,0.47,33.14
